CompetitorId,Back Squat,Clean and Jerk,Snatch,Deadlift,Fran,Grace,Helen,Filthy 50,Sprint 400m,Run 5k,Fight Gone Bad,Max Pull-ups,L1 Benchmark
1239980,--,--,--,--,--,--,--,--,--,--,--,--,
1190381,--,235 lb,195 lb,--,--,--,--,--,--,--,--,--,
1931423,315 lb,240 lb,192 lb,345 lb,--,--,--,--,--,--,--,--,
1232297,320 lb,255 lb,192 lb,400 lb,--,--,--,--,--,--,--,--,--
168305,345 lb,255 lb,215 lb,432 lb,2:06,1:13,--,--,--,--,--,--,
762495,140 kg,105 kg,87 kg,160 kg,2:10,1:50,--,--,1:00,20:00,--,--,
174547,325 lb,257 lb,200 lb,405 lb,2:15,1:30,--,--,--,--,--,--,
1119323,--,--,--,--,--,--,--,--,--,--,--,--,
510988,--,--,--,--,--,--,--,--,--,--,--,--,
747027,315 lb,245 lb,200 lb,385 lb,--,--,--,--,--,--,--,--,--
1983424,150 kg,115 kg,90 kg,150 kg,2:03,--,--,--,--,21:37,--,71,
2077209,--,--,--,--,--,--,--,--,--,--,--,--,
764556,150 kg,120 kg,91 kg,170 kg,--,--,--,--,--,--,--,--,
314703,335 lb,240 lb,185 lb,370 lb,1:53,1:11,--,--,1:09,--,--,--,
109085,350 lb,260 lb,205 lb,400 lb,--,--,--,--,--,--,--,--,
239442,125 kg,110 kg,86 kg,170 kg,2:17,1:17,--,--,1:09,--,--,60,
1518913,--,--,--,--,--,--,--,--,--,--,--,--,
1441210,315 lb,245 lb,200 lb,415 lb,--,1:38,--,--,--,--,--,--,
951375,--,--,--,--,--,--,--,--,--,--,--,--,
349097,--,240 lb,210 lb,--,--,--,--,--,--,--,--,--,
1018713,160 kg,106 kg,85 kg,160 kg,--,--,--,--,--,--,--,--,
120247,145 kg,105 kg,83 kg,175 kg,2:44,1:26,--,--,--,21:00,--,--,
299053,130 kg,105 kg,83 kg,150 kg,--,--,--,--,--,--,--,--,
254824,145 kg,118 kg,91 kg,160 kg,--,--,--,--,--,--,--,--,
998366,--,--,--,--,--,--,--,--,--,--,--,--,
601487,--,200 lb,160 lb,--,--,--,--,--,--,--,--,--,
1547449,,,,,,,,,,,,,
977156,--,--,--,--,--,--,--,--,--,--,--,--,
873895,315 lb,--,--,--,--,--,--,--,--,--,--,--,
239148,330 lb,230 lb,190 lb,400 lb,2:02,1:17,--,--,--,--,464,50,--
683305,--,--,--,--,--,--,--,--,--,--,--,--,
329428,--,--,--,--,--,--,--,--,--,--,--,--,
236779,280 lb,230 lb,190 lb,350 lb,2:13,1:46,--,--,--,22:30,--,60,
802300,365 lb,269 lb,207 lb,365 lb,2:30,2:01,9:07,18:03,1:12,--,--,60,
530860,300 lb,245 lb,195 lb,365 lb,--,--,--,--,--,--,--,--,
19117,300 lb,243 lb,183 lb,380 lb,2:19,--,--,--,1:06,--,--,50,
882328,--,95 kg,85 kg,150 kg,--,--,--,--,--,--,--,--,
1443816,--,--,--,--,--,--,--,--,--,--,--,--,
887297,135 kg,105 kg,82 kg,175 kg,--,--,--,--,--,--,--,--,
1079742,--,--,--,--,--,--,--,--,--,--,--,--,
1240398,132 kg,90 kg,66 kg,155 kg,3:53,2:30,9:20,--,1:06,22:19,201,30,
656004,345 lb,255 lb,225 lb,422 lb,2:05,1:12,--,--,--,--,--,71,
300613,230 lb,175 lb,145 lb,220 lb,4:46,--,--,--,--,--,--,--,
1323066,--,--,--,--,--,--,--,--,--,--,--,--,
280125,--,--,--,--,--,--,--,--,--,--,--,--,
623803,145 kg,105 kg,90 kg,170 kg,1:54,--,--,--,--,--,--,--,
221169,320 lb,235 lb,180 lb,365 lb,3:05,3:34,--,--,1:22,22:20,--,45,
1957222,--,--,--,--,--,--,--,--,--,--,--,--,
18588,125 kg,108 kg,92 kg,170 kg,2:37,1:20,--,15:07,107:00,--,460,80,
16173,--,--,--,--,2:08,2:23,8:15,--,--,--,--,50,
1207609,315 lb,240 lb,195 lb,365 lb,1:59,1:18,--,--,1:16,22:13,--,52,
264512,--,--,--,--,--,--,--,--,--,--,--,--,
1330256,--,--,--,--,--,--,--,--,--,--,--,--,
657705,--,--,--,--,--,--,--,--,--,--,--,--,
1028410,300 lb,240 lb,190 lb,330 lb,2:14,--,--,--,--,--,--,--,
888942,305 lb,225 lb,190 lb,347 lb,3:17,2:30,--,--,--,25:25,346,--,--
252691,315 lb,230 lb,182 lb,345 lb,2:04,--,--,--,1:05,22:30,332,60,
19501,132 kg,108 kg,87 kg,152 kg,2:49,1:57,8:32,18:56,1:01,21:26,389,60,
280780,--,--,--,--,--,--,--,--,--,--,--,--,
594929,--,--,--,--,--,--,--,--,--,--,--,--,
1096363,130 kg,102 kg,81 kg,150 kg,2:16,1:24,--,--,--,--,--,21,
531598,350 lb,252 lb,200 lb,395 lb,--,--,--,--,1:12,--,--,--,
513420,--,--,--,--,--,--,--,--,--,--,--,--,
484380,--,--,--,--,--,--,--,--,--,--,--,--,
534813,--,--,--,--,--,--,--,--,--,--,--,--,
1347023,--,--,--,--,--,--,--,--,--,--,--,--,
503582,--,240 lb,190 lb,--,--,--,--,--,--,--,--,--,
872244,--,--,--,--,--,--,--,--,--,--,--,--,
555277,265 lb,215 lb,170 lb,285 lb,1:59,--,--,--,--,--,--,86,
1515232,300 lb,235 lb,185 lb,365 lb,1:54,--,--,--,--,25:25,--,25,
1021143,--,--,--,--,--,--,--,--,--,--,--,--,
1269411,305 lb,245 lb,202 lb,395 lb,--,--,--,--,--,--,--,--,
1544576,135 kg,100 kg,83 kg,180 kg,--,--,--,--,--,--,--,--,--
1984229,105 kg,90 kg,76 kg,130 kg,--,--,--,--,--,23:23,--,--,
698210,140 kg,111 kg,95 kg,170 kg,--,--,--,--,--,--,--,--,
485344,--,--,--,--,--,--,--,--,--,--,--,--,
115567,310 lb,253 lb,207 lb,320 lb,2:08,--,--,--,--,--,--,58,
